Nomenclature achat;"Famille d'achat
(N-0)";"Domaines d'achat
(N-1)";"Catégories d'achat
(N-2)";"Segments  d'achat
(N-3)";Sous-segment;Produit élémentaire;"Code des Catégories Homogènes 
de fournitures et prestations"
DS71AC05;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;VIS GUIDE IMPLANTOLOGIE DENTAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC06;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;CYLINDRE OR IMPLANTOLOGIE DENTAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC07;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;CALCINABLE IMPLANTOLOGIE DENTAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC08;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;ANALOGUE D'IMPLANT;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC09;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;TRANSFERT D'IMPLANT SIMPLE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC10;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;TRANSFERT D'IMPLANT PICK-UP;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC11;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;CAPUCHON DE CICATRISATION;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC12;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;PILIER LONG CONE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC13;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;PILIER CONIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC14;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;PILIER STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC15;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;TRANSFERT D'EMPREINTE SUR PILIER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC16;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;ANALOGUE DE PILIER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC17;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;VIS DE CICATRISATION;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC18;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;VIS DE COUVERTURE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS71AC19;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE RECONSTRUCTION;IMPLANTOLOGIE;SYSTEME PROTHETIQUE VISSE;IMPLANT DENTAIRE MEDICAL VISSE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA01;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;BIONATOR BALTERS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA02;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;ACTIVATEUR FONTENELLE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA03;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;ACTIVATEUR ANDRESEN BENAWAT LORETTE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA04;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;ACTIVATEUR CHABRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA05;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;ACTIVATEUR MONOBLOC ROBIN;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA06;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;ACTIVATEUR DE LAUTROU;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AA07;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;ACTIVATEUR;APPAREIL DE BASS.;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB01;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;PLAQUE DE CONTENTION HAWLEY VAUGEOIS WRAPAROUND;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB02;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;CONTENTION ALEXANDER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB03;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;CONTENTION PLAQUE SVED;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB04;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;GOUTTIERE TYPE AMORIC (BIOSTAR THERMOFORMEE SIMPLE);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB05;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;GOUTTIERE TYPE OSAMU;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB06;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;GOUTTIERE TYPE OSAMU AVEC UN SET UP INCLUS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AB07;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;CONTENTION ODF ET PEDOODONTIE;CLEAR RETAINER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC01;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE AVEC ECARTEUR STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC02;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE A ECARTEUR RETRACTEUR;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC03;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE A ECARTEUR EVENTAIL;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC04;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE TRACTION PERICRANIENNE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC05;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE DE PHILIPPE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC06;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE BRENDER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC07;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE OCCLUSALE (ATM);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC08;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE DE DESENGRENEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC09;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROPULSEUR DE MULLER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC10;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROPULSEUR DE MULLER F.B.;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC11;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROPULSEUR A BIELLES DE HERBST (BIELLES COMPRISES);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC12;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROPULSEUR DE DELANNOY;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC13;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROPULSEUR MACARY;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC14;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;SPRING RETAINER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC15;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;SPRING RETAINER AVEC SET UP INCLUS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC16;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;SPRING RETAINER AVEC CROCHETS CROZAT SUR 36 - 46;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC17;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUELIP BUMPER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC18;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE RICKETTS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC19;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;CAGE A LANGUE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC20;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;TUNNEL A LANGUE E.L.N DE BONNET;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC21;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE FLUORATION;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC22;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;BITE-PLANE PLAN PLAT RETRO-INCISIF;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC23;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE ACTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC24;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE ACTIVE AVEC SURFACES MOLAIRES;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC25;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE CELTIN;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC26;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE AVEC TUBES F.E.O;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC27;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;FORCE EXTRA ORALE A PLATEAU DE J.PHILIPPE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC28;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PROTEGE DENTS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC29;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PENDULUM;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC30;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;GOUTTIERE CL III;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC31;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE DE VIENNE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC32;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE STEPHENSON;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC33;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PLAQUE ACTIVE AVEC BUMPER;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AC34;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE MOBILE ADDITIONNELLE;PISTE DE RODAGE DE PLANAS;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD01;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;BUMPER SUR BAGUE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD02;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;SPRING RETAINER CROZAT;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD03;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD04;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE AMOVIBLE (BOITIERS SOUDES COMPRIS);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD05;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE GIANELLY;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD06;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE GIANELLY SOUDE SUR PREMOLAIRES;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD07;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE-GOSHGARIAN SOUDE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD08;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE + ARC DE GOSHGARIAN;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD09;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE-GOSHGARIAN AMOVIBLE (BOITIERS SOUDES COMPRIS);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD10;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;DOUBLE ARC DE NANCE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD11;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;DOUBLE ARC DE THEUVENY;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD12;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;DOUBLE ARC DE DELAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD13;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;GOUTTIERE DE DELAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD14;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC LINGUAL;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD15;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC LINGUAL DE BURDTONE AMOVIBLE (BOITIERS SOUDES COMPRIS);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD16;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE-TRANSPALATIN SOUDE;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD17;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC DE NANCE-TRANSPALATIN DE BURSTONE AMOVIBLE (BOITIERS SOUDES COMPRIS);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD18;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC TRANSPALATIN;DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
DS72AD19;DISPOSITIFS MEDICAUX;ORGANE SENSORIEL;BOUCHE PROTHESE;ODF ET PEDOODONTIE;DIVERS PLAQUE FIXE ADDITIONNELLE;ARC TRANSPALATIN AMOVIBLE (BOITIERS SOUDES COMPRIS);DISPOSITIFS MEDICAUX CONSOMMABLES DENTAIRES, POUR ODONTOLOGIE ET STOMATOLOGIE
